Id,full_scorecard,Season,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place,winner_update,Season_update
115,https://stats.espncricinfo.com/ci/engine/match/1254092.html,2021,Delhi Capitals,Kolkata Knight Riders,127,130,Kolkata Knight Riders,Field,KKR,3 wickets,Sunil Narine,Sharjah Cricket Stadium,Sharjah,Kolkata,2021
116,https://stats.espncricinfo.com/ci/engine/match/1254099.html,2021,Punjab Kings,Mumbai Indians,135,137,Mumbai Indians,Field,Mumbai,6 wickets,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi,Mumbai,2021
117,https://stats.espncricinfo.com/ci/engine/match/1254103.html,2021,Rajasthan Royals,Royal Challengers Bangalore,149,153,Royal Challengers Bangalore,Field,RCB,7 wickets,Yuzvendra Chahal,Dubai International Cricket Stadium,Dubai,Banglore,2021
118,https://stats.espncricinfo.com/ci/engine/match/1254091.html,2021,Sunrisers Hyderabad,Chennai Super Kings,134,139,Chennai Super Kings,Field,Super,6 wickets,Josh Hazlewood,Sharjah Cricket Stadium,Sharjah,Chennai,2021
119,https://stats.espncricinfo.com/ci/engine/match/1254102.html,2021,Kolkata Knight Riders,Punjab Kings,165,168,Punjab Kings,Field,Punjab,5 wickets,KL Rahul,Dubai International Cricket Stadium,Dubai,Punjab,2021
120,https://stats.espncricinfo.com/ci/engine/match/1254112.html,2021,Mumbai Indians,Delhi Capitals,129,132,Delhi Capitals,Field,Capitals,4 wickets,Axar Patel,Sharjah Cricket Stadium,Sharjah,Delhi,2021
121,https://stats.espncricinfo.com/ci/engine/match/1254089.html,2021,Chennai Super Kings,Rajasthan Royals,189,190,Rajasthan Royals,Field,Royals,7 wickets,Ruturaj Gaikwad,Zayed Cricket Stadium,Abu Dhabi,Rajasthan,2021
122,https://stats.espncricinfo.com/ci/engine/match/1254090.html,2021,Royal Challengers Bangalore,Punjab Kings,164,158,Royal Challengers Bangalore,Bat,RCB,6 runs,Glenn Maxwell,Sharjah Cricket Stadium,Sharjah,Banglore,2021
123,https://stats.espncricinfo.com/ci/engine/match/1254109.html,2021,Sunrisers Hyderabad,Kolkata Knight Riders,115,119,Sunrisers Hyderabad,Bat,KKR,6 wickets,Shubman Gill,Dubai International Cricket Stadium,Dubai,Kolkata,2021
124,https://stats.espncricinfo.com/ci/engine/match/1254110.html,2021,Chennai Super Kings,Delhi Capitals,136,139,Delhi Capitals,Field,Capitals,3 wickets,Axar Patel,Dubai International Cricket Stadium,Dubai,Delhi,2021
125,https://stats.espncricinfo.com/ci/engine/match/1254093.html,2021,Rajasthan Royals,Mumbai Indians,90,94,Mumbai Indians,Field,Mumbai,8 wickets,Nathan Coulter-Nile,Sharjah Cricket Stadium,Sharjah,Mumbai,2021
126,https://stats.espncricinfo.com/ci/engine/match/1254095.html,2021,Sunrisers Hyderabad,Royal Challengers Bangalore,141,137,Royal Challengers Bangalore,Field,Sunrisers,4 runs,Kane Williamson,Zayed Cricket Stadium,Abu Dhabi,Hyderabad,2021
127,https://stats.espncricinfo.com/ci/engine/match/1254094.html,2021,Chennai Super Kings,Punjab Kings,134,139,Punjab Kings,Field,Punjab,6 wickets,KL Rahul,Dubai International Cricket Stadium,Dubai,Punjab,2021
128,https://stats.espncricinfo.com/ci/engine/match/1254106.html,2021,Kolkata Knight Riders,Rajasthan Royals,171,85,Rajasthan Royals,Field,KKR,86 runs,Shivam Mavi,Sharjah Cricket Stadium,Sharjah,Kolkata,2021
129,https://stats.espncricinfo.com/ci/engine/match/1254101.html,2021,Delhi Capitals,Royal Challengers Bangalore,164,166,Royal Challengers Bangalore,Field,RCB,7 wickets,Srikar Bharat,Dubai International Cricket Stadium,Dubai,Banglore,2021
130,https://stats.espncricinfo.com/ci/engine/match/1254088.html,2021,Mumbai Indians,Sunrisers Hyderabad,235,193,Mumbai Indians,Bat,Mumbai,42 runs,Ishan Kishan,Zayed Cricket Stadium,Abu Dhabi,Mumbai,2021
131,https://stats.espncricinfo.com/ci/engine/match/1254114.html,2021,Delhi Capitals,Chennai Super Kings,172,173,Chennai Super Kings,Field,Super,4 wickets,Ruturaj Gaikwad,Dubai International Cricket Stadium,Dubai,Chennai,2021
132,https://stats.espncricinfo.com/ci/engine/match/1254115.html,2021,Royal Challengers Bangalore,Kolkata Knight Riders,138,139,Royal Challengers Bangalore,Bat,KKR,4 wickets,Sunil Narine,Sharjah Cricket Stadium,Sharjah,Kolkata,2021
133,https://stats.espncricinfo.com/ci/engine/match/1254116.html,2021,Delhi Capitals,Kolkata Knight Riders,135,136,Kolkata Knight Riders,Field,KKR,3 wickets,Venkatesh Iyer,Sharjah Cricket Stadium,Sharjah,Kolkata,2021
134,https://stats.espncricinfo.com/ci/engine/match/1254117.html,2021,Chennai Super Kings,Kolkata Knight Riders,192,165,Kolkata Knight Riders,Field,Super,27 runs,Faf du Plessis,Dubai International Cricket Stadium,Dubai,Chennai,2021 Final
135,https://stats.espncricinfo.com/ci/engine/match/1216492.html,2020,Mumbai Indians,Chennai Super Kings,162,166,Chennai Super Kings,Field,Super,5 wickets,Ambati Rayudu,Zayed Cricket Stadium,Abu Dhabi,Chennai,2020
136,https://stats.espncricinfo.com/ci/engine/match/1216493.html,2020,Delhi Capitals,Kings XI Punjab,157,157,Kings XI Punjab,Field,Tied,Tied,Marcus Stoinis,Dubai International Cricket Stadium,Dubai,Tied,2020
137,https://stats.espncricinfo.com/ci/engine/match/1216534.html,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,163,153,Sunrisers Hyderabad,Field,RCB,10 runs,Yuzvendra Chahal,Dubai International Cricket Stadium,Dubai,Banglore,2020
