Id,place_city,place_country,place_state
282,Jaipur,India,Rajasthan
283,Banglore,India,Karnataka
284,Pune,India,Maharashtra
285,Banglore,India,Karnataka
286,Delhi,India,Delhi
287,Kolkata,India,West Bengal
288,Indore,India,Madhya Pradesh
289,Pune,India,Maharashtra
290,Hyderabad,India,Telengana
291,Mumbai,India,Maharashtra
292,Indore,India,Madhya Pradesh
293,Hyderabad,India,Telengana
294,Jaipur,India,Rajasthan
295,Kolkata,India,West Bengal
296,Delhi,India,Delhi
297,Jaipur,India,Rajasthan
298,Indore,India,Madhya Pradesh
299,Delhi,India,Delhi
300,Pune,India,Maharashtra
301,Mumbai,India,Maharashtra
302,Indore,India,Madhya Pradesh
303,Kolkata,India,West Bengal
304,Mumbai,India,Maharashtra
305,Banglore,India,Karnataka
306,Delhi,India,Delhi
307,Jaipur,India,Rajasthan
308,Hyderabad,India,Telengana
309,Delhi,India,Delhi
310,Pune,India,Maharashtra
311,Mumbai,India,Maharashtra
312,Kolkata,India,West Bengal
313,Kolkata,India,West Bengal
314,Mumbai,India,Maharashtra
315,Hyderabad,India,Telengana
316,Pune,India,Maharashtra
317,Rajkot,India,Gujarat
318,Indore,India,Madhya Pradesh
319,Banglore,India,Karnataka
320,Hyderabad,India,Telengana
321,Mumbai,India,Maharashtra
322,Indore,India,Madhya Pradesh
323,Pune,India,Maharashtra
324,Mumbai,India,Maharashtra
325,Kolkata,India,West Bengal
326,Banglore,India,Karnataka
327,Rajkot,India,Gujarat
328,Kolkata,India,West Bengal
329,Delhi,India,Delhi
330,Mumbai,India,Maharashtra
331,Banglore,India,Karnataka
332,Delhi,India,Delhi
333,Hyderabad,India,Telengana
334,Rajkot,India,Gujarat
335,Hyderabad,India,Telengana
336,Indore,India,Madhya Pradesh
337,Kolkata,India,West Bengal
338,Pune,India,Maharashtra
339,Mumbai,India,Maharashtra
340,Rajkot,India,Gujarat
341,Kolkata,India,West Bengal
342,Mumbai,India,Maharashtra
343,Banglore,India,Karnataka
344,Pune,India,Maharashtra
345,Banglore,India,Karnataka
346,Kolkata,India,West Bengal
347,Mohali,India,Punjab
348,Pune,India,Maharashtra
349,Rajkot,India,Gujarat
350,Mohali,India,Punjab
351,Hyderabad,India,Telengana
352,Mumbai,India,Maharashtra
353,Pune,India,Maharashtra
354,Delhi,India,Delhi
355,Kolkata,India,West Bengal
356,Delhi,India,Delhi
357,Banglore,India,Karnataka
358,Hyderabad,India,Telengana
359,Delhi,India,Delhi
360,Banglore,India,Karnataka
361,Mohali,India,Punjab
362,Hyderabad,India,Telengana
363,Mohali,India,Punjab
364,Kanpur,India,Uttar Pradesh
365,Mumbai,India,Maharashtra
